sampid,gender,birthy,w01ecoact,w01student,w01edu,w01region,y01e606,w02ecoact,w02student,w03ecoact,w03student,neet_w1,outcome,gender_label,age,edu_label,region_label,health_label
100452,2,1993,3,2,2,1,4,1.0,2.0,1.0,2.0,True,취업 성공,여성,28,고졸,서울,좋은 편
100465,2,1994,3,2,4,1,4,,,3.0,2.0,True,미취업,여성,27,대졸,서울,좋은 편
100468,1,1994,3,2,4,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,27,대졸,서울,좋은 편
100475,2,1996,3,2,4,1,4,,,,,True,미취업,여성,25,대졸,서울,좋은 편
100477,1,2001,3,2,2,1,5,,,1.0,2.0,True,취업 성공,남성,20,고졸,서울,매우 좋음
100481,1,2000,3,2,2,1,4,1.0,1.0,1.0,1.0,True,취업 성공,남성,21,고졸,서울,좋은 편
100498,2,1996,3,2,4,1,3,,,,,True,미취업,여성,25,대졸,서울,보통
100501,1,2002,3,2,2,1,4,,,,,True,미취업,남성,19,고졸,서울,좋은 편
100520,1,1993,3,2,3,1,5,3.0,2.0,,,True,미취업,남성,28,전문대졸,서울,매우 좋음
100522,1,2001,2,2,2,1,4,3.0,2.0,,,True,미취업,남성,20,고졸,서울,좋은 편
100529,1,1995,2,2,3,1,4,1.0,2.0,1.0,2.0,True,취업 성공,남성,26,전문대졸,서울,좋은 편
100530,1,2002,3,2,2,1,4,3.0,1.0,,,True,미취업,남성,19,고졸,서울,좋은 편
100533,1,1994,3,2,4,1,5,,,3.0,2.0,True,미취업,남성,27,대졸,서울,매우 좋음
100535,1,1994,2,2,4,1,3,,,3.0,2.0,True,미취업,남성,27,대졸,서울,보통
100536,2,1996,3,2,3,1,4,1.0,2.0,,,True,취업 성공,여성,25,전문대졸,서울,좋은 편
100558,2,1993,3,2,4,1,2,1.0,2.0,1.0,2.0,True,취업 성공,여성,28,대졸,서울,나쁜 편
100561,1,1994,2,2,4,1,2,1.0,2.0,2.0,2.0,True,취업 성공,남성,27,대졸,서울,나쁜 편
100562,1,1999,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,22,고졸,서울,좋은 편
100575,1,2000,3,2,2,1,4,1.0,2.0,1.0,2.0,True,취업 성공,남성,21,고졸,서울,좋은 편
100581,2,2001,2,2,2,1,4,1.0,2.0,1.0,2.0,True,취업 성공,여성,20,고졸,서울,좋은 편
100597,1,2002,3,2,2,1,4,3.0,2.0,1.0,2.0,True,취업 성공,남성,19,고졸,서울,좋은 편
100600,1,2002,3,2,2,1,4,3.0,1.0,3.0,1.0,True,미취업,남성,19,고졸,서울,좋은 편
100611,1,1996,2,2,4,1,4,3.0,2.0,1.0,2.0,True,취업 성공,남성,25,대졸,서울,좋은 편
100614,1,2002,3,2,2,1,5,3.0,2.0,,,True,미취업,남성,19,고졸,서울,매우 좋음
100618,1,1997,3,2,2,1,5,3.0,2.0,,,True,미취업,남성,24,고졸,서울,매우 좋음
100624,1,1997,3,2,4,1,5,3.0,2.0,3.0,2.0,True,미취업,남성,24,대졸,서울,매우 좋음
100628,1,2002,3,2,2,1,5,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,매우 좋음
100630,1,2002,3,2,2,1,5,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,매우 좋음
100636,2,1998,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,23,고졸,서울,좋은 편
100644,1,1995,2,2,2,1,4,3.0,2.0,2.0,2.0,True,미취업,남성,26,고졸,서울,좋은 편
100647,2,1993,2,2,4,1,3,1.0,2.0,1.0,2.0,True,취업 성공,여성,28,대졸,서울,보통
100681,1,1998,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,23,고졸,서울,좋은 편
100688,2,2002,3,2,2,1,3,3.0,2.0,,,True,미취업,여성,19,고졸,서울,보통
100690,1,2002,3,2,2,1,3,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,보통
100691,1,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,좋은 편
100693,2,1993,3,2,4,1,2,3.0,2.0,3.0,2.0,True,미취업,여성,28,대졸,서울,나쁜 편
100694,2,1993,3,2,3,1,3,3.0,2.0,3.0,2.0,True,미취업,여성,28,전문대졸,서울,보통
100695,1,2002,3,2,2,1,5,,,,,True,미취업,남성,19,고졸,서울,매우 좋음
100700,2,2001,3,2,2,1,3,3.0,2.0,1.0,2.0,True,취업 성공,여성,20,고졸,서울,보통
100708,1,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,좋은 편
100710,2,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,19,고졸,서울,좋은 편
100711,2,2002,3,2,2,1,3,3.0,2.0,,,True,미취업,여성,19,고졸,서울,보통
100714,1,2002,3,2,2,1,4,1.0,2.0,,,True,취업 성공,남성,19,고졸,서울,좋은 편
100730,1,1996,3,2,4,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,25,대졸,서울,좋은 편
100740,2,1993,3,2,3,1,2,,,3.0,2.0,True,미취업,여성,28,전문대졸,서울,나쁜 편
100742,1,2002,3,2,2,1,3,,,3.0,2.0,True,미취업,남성,19,고졸,서울,보통
100743,1,1998,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,23,고졸,서울,좋은 편
100745,1,2001,3,2,2,1,3,3.0,2.0,3.0,2.0,True,미취업,남성,20,고졸,서울,보통
100747,1,2002,3,2,2,1,3,3.0,2.0,1.0,2.0,True,취업 성공,남성,19,고졸,서울,보통
100756,1,2002,3,2,2,1,3,3.0,2.0,,,True,미취업,남성,19,고졸,서울,보통
100770,2,1993,3,2,2,1,3,3.0,2.0,1.0,2.0,True,취업 성공,여성,28,고졸,서울,보통
100772,2,2001,3,2,2,1,4,3.0,1.0,1.0,2.0,True,취업 성공,여성,20,고졸,서울,좋은 편
100813,1,1998,3,2,2,1,3,2.0,2.0,1.0,1.0,True,취업 성공,남성,23,고졸,서울,보통
100817,2,2001,2,2,2,1,4,,,,,True,미취업,여성,20,고졸,서울,좋은 편
100818,1,1996,3,2,4,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,25,대졸,서울,좋은 편
100857,2,1994,2,2,3,1,4,2.0,2.0,,,True,미취업,여성,27,전문대졸,서울,좋은 편
100872,2,2002,3,2,2,1,4,1.0,2.0,,,True,취업 성공,여성,19,고졸,서울,좋은 편
100873,1,1993,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,28,고졸,서울,좋은 편
100878,2,1995,3,2,4,1,4,1.0,2.0,1.0,2.0,True,취업 성공,여성,26,대졸,서울,좋은 편
100901,2,2002,3,2,2,1,4,,,,,True,미취업,여성,19,고졸,서울,좋은 편
100911,2,1996,2,2,4,1,4,3.0,1.0,3.0,2.0,True,미취업,여성,25,대졸,서울,좋은 편
100963,1,1997,3,2,2,1,4,3.0,2.0,1.0,2.0,True,취업 성공,남성,24,고졸,서울,좋은 편
100981,2,1993,3,2,3,1,4,1.0,2.0,1.0,2.0,True,취업 성공,여성,28,전문대졸,서울,좋은 편
100982,2,1997,3,2,4,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,24,대졸,서울,좋은 편
100989,1,1993,2,2,3,1,4,1.0,2.0,1.0,2.0,True,취업 성공,남성,28,전문대졸,서울,좋은 편
101004,2,1993,3,2,4,1,4,3.0,2.0,2.0,2.0,True,미취업,여성,28,대졸,서울,좋은 편
101005,1,1993,2,2,2,1,4,3.0,2.0,2.0,2.0,True,미취업,남성,28,고졸,서울,좋은 편
101014,2,1996,3,2,2,1,4,1.0,2.0,1.0,2.0,True,취업 성공,여성,25,고졸,서울,좋은 편
101023,1,1993,2,2,4,1,4,,,,,True,미취업,남성,28,대졸,서울,좋은 편
101025,2,2002,3,2,2,1,4,,,,,True,미취업,여성,19,고졸,서울,좋은 편
101029,1,2002,3,2,2,1,4,3.0,1.0,3.0,1.0,True,미취업,남성,19,고졸,서울,좋은 편
101031,2,1995,2,2,2,1,4,1.0,2.0,1.0,2.0,True,취업 성공,여성,26,고졸,서울,좋은 편
101040,1,1995,2,2,4,1,4,,,,,True,미취업,남성,26,대졸,서울,좋은 편
101041,1,2000,3,2,2,1,2,1.0,2.0,,,True,취업 성공,남성,21,고졸,서울,나쁜 편
101043,1,1993,3,2,4,1,4,,,,,True,미취업,남성,28,대졸,서울,좋은 편
101055,1,1998,3,2,2,1,3,,,,,True,미취업,남성,23,고졸,서울,보통
101066,1,1996,2,2,4,1,4,3.0,2.0,,,True,미취업,남성,25,대졸,서울,좋은 편
101086,2,1996,3,2,4,1,4,1.0,2.0,1.0,2.0,True,취업 성공,여성,25,대졸,서울,좋은 편
101099,2,2001,3,2,2,1,3,3.0,1.0,3.0,1.0,True,미취업,여성,20,고졸,서울,보통
101103,1,2002,3,2,2,1,3,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,보통
101105,1,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,좋은 편
101108,2,1994,3,2,2,1,3,3.0,2.0,3.0,2.0,True,미취업,여성,27,고졸,서울,보통
101112,1,2001,3,2,2,1,3,3.0,1.0,3.0,1.0,True,미취업,남성,20,고졸,서울,보통
101114,2,2002,3,2,2,1,3,3.0,2.0,1.0,2.0,True,취업 성공,여성,19,고졸,서울,보통
101115,2,1993,3,2,4,1,2,3.0,2.0,3.0,2.0,True,미취업,여성,28,대졸,서울,나쁜 편
101131,2,1997,2,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,24,고졸,서울,좋은 편
101132,2,1999,3,2,2,1,3,3.0,2.0,2.0,2.0,True,미취업,여성,22,고졸,서울,보통
101135,2,1996,3,2,2,1,3,1.0,2.0,1.0,2.0,True,취업 성공,여성,25,고졸,서울,보통
101137,1,2002,3,2,2,1,4,,,,,True,미취업,남성,19,고졸,서울,좋은 편
101143,2,1993,3,2,3,1,2,3.0,2.0,3.0,2.0,True,미취업,여성,28,전문대졸,서울,나쁜 편
101151,1,1999,3,2,2,1,4,1.0,2.0,1.0,2.0,True,취업 성공,남성,22,고졸,서울,좋은 편
101154,2,1994,3,2,4,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,27,대졸,서울,좋은 편
101177,1,1997,3,2,4,1,4,,,,,True,미취업,남성,24,대졸,서울,좋은 편
101185,1,1994,2,2,4,1,4,1.0,2.0,1.0,2.0,True,취업 성공,남성,27,대졸,서울,좋은 편
101195,2,1999,3,2,2,1,3,1.0,2.0,1.0,2.0,True,취업 성공,여성,22,고졸,서울,보통
101203,1,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,좋은 편
101217,2,1997,3,2,4,1,4,3.0,2.0,2.0,2.0,True,미취업,여성,24,대졸,서울,좋은 편
101237,2,1997,3,2,3,1,4,,,,,True,미취업,여성,24,전문대졸,서울,좋은 편
101238,2,1996,3,2,3,1,4,,,,,True,미취업,여성,25,전문대졸,서울,좋은 편
101256,2,1997,3,2,4,1,4,3.0,2.0,2.0,2.0,True,미취업,여성,24,대졸,서울,좋은 편
101275,1,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,좋은 편
101276,2,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,19,고졸,서울,좋은 편
101278,2,2002,3,2,2,1,4,3.0,2.0,3.0,1.0,True,미취업,여성,19,고졸,서울,좋은 편
101291,2,1996,3,2,4,1,4,,,,,True,미취업,여성,25,대졸,서울,좋은 편
101297,2,1993,3,2,3,1,3,3.0,2.0,3.0,2.0,True,미취업,여성,28,전문대졸,서울,보통
101301,2,1996,3,2,4,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,25,대졸,서울,좋은 편
101304,2,1994,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,27,고졸,서울,좋은 편
101308,2,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,19,고졸,서울,좋은 편
101309,1,1995,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,26,고졸,서울,좋은 편
101310,1,1997,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,24,고졸,서울,좋은 편
101319,1,1994,3,2,4,1,4,,,3.0,2.0,True,미취업,남성,27,대졸,서울,좋은 편
101323,1,1999,3,2,2,1,4,2.0,2.0,,,True,미취업,남성,22,고졸,서울,좋은 편
101325,2,1995,3,2,2,1,3,1.0,2.0,1.0,2.0,True,취업 성공,여성,26,고졸,서울,보통
101334,1,1997,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,24,고졸,서울,좋은 편
101342,2,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,19,고졸,서울,좋은 편
101345,2,1996,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,25,고졸,서울,좋은 편
101347,2,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,19,고졸,서울,좋은 편
101348,1,1995,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,26,고졸,서울,좋은 편
101351,1,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,좋은 편
101352,2,2002,3,2,2,1,3,3.0,2.0,3.0,2.0,True,미취업,여성,19,고졸,서울,보통
101356,1,2002,3,2,2,1,4,3.0,1.0,3.0,1.0,True,미취업,남성,19,고졸,서울,좋은 편
101357,1,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,좋은 편
101358,2,1997,3,2,3,1,2,3.0,2.0,3.0,2.0,True,미취업,여성,24,전문대졸,서울,나쁜 편
101359,2,1993,3,2,4,1,3,3.0,2.0,3.0,2.0,True,미취업,여성,28,대졸,서울,보통
101367,2,2002,3,2,2,1,5,3.0,1.0,3.0,2.0,True,미취업,여성,19,고졸,서울,매우 좋음
101369,2,2002,3,2,2,1,2,1.0,1.0,3.0,1.0,True,취업 성공,여성,19,고졸,서울,나쁜 편
101373,2,1995,3,2,2,1,3,3.0,1.0,3.0,1.0,True,미취업,여성,26,고졸,서울,보통
101374,2,1995,3,2,2,1,3,3.0,2.0,3.0,2.0,True,미취업,여성,26,고졸,서울,보통
101376,2,1994,2,2,4,1,4,1.0,2.0,1.0,2.0,True,취업 성공,여성,27,대졸,서울,좋은 편
101377,1,1995,3,2,4,1,4,3.0,2.0,1.0,2.0,True,취업 성공,남성,26,대졸,서울,좋은 편
101378,2,2000,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,21,고졸,서울,좋은 편
101379,1,2000,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,21,고졸,서울,좋은 편
101381,2,1998,3,2,2,1,3,3.0,2.0,3.0,2.0,True,미취업,여성,23,고졸,서울,보통
101387,1,2000,3,2,2,1,4,1.0,2.0,1.0,2.0,True,취업 성공,남성,21,고졸,서울,좋은 편
101388,2,2002,3,2,2,1,4,3.0,2.0,3.0,1.0,True,미취업,여성,19,고졸,서울,좋은 편
101389,1,2002,3,2,2,1,4,3.0,1.0,,,True,미취업,남성,19,고졸,서울,좋은 편
101391,2,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,19,고졸,서울,좋은 편
101392,1,1993,3,2,3,1,2,1.0,2.0,1.0,2.0,True,취업 성공,남성,28,전문대졸,서울,나쁜 편
